Company,Industry,Location,Employees,Stage,Website,Notes,Linkedin_url
Hunden Partners,Real Estate,"Chicago, Illinois",11-50,A,http://www.hunden.com,"hiring for business development, Hunden Partners is the leading advisor in destination real estate development. The firm offers a full range of project advisory and execution services including market and financial feasibility, economic and impact analyses, tourism planning and strategy, and development implementation for specialty destination assets such as sports facilities, mixed-use and entertainment districts, convention and expo centers, hotels, entertainment venues, recreation facilities and other economic development projects. 
 
Hunden assists clients to move projects from concept to funding to execution. The company’s clients include cities, states, universities, DMOs, authorities and private developers. Hunden has conducted more than 1,000 studies and has had a hand in the development of over $20 billion in projects around the world.",https://www.linkedin.com/company/hunden-partners/about/
CREx,Real Estate,"New York, NY",11-50,A,https://crexsoftware.com,"Hot lead, needs senior consultant. CREx is an affordable real estate data integration and analytics software.

We founded CREx because we felt the pain from not being able to access our own commercial real estate data. All commercial real estate firms improve operations, reduce risk, and save time and money by accessing their data. Don't waste time wondering how effective your marketing strategy is or whether you're maximizing NOI with fast unit turns. Take control of your destiny with CREx.

Never pull spreadsheets together again. Fast setup. Faster analytics.",https://www.linkedin.com/company/crexsoftware/
Wallace Real Estate,Real Estate,"Knoxville, TN",11-50,A,wallacetn.com,"No jobs at the moment, Wallace is a family-owned real estate company that has been serving the needs of home buyers and sellers since 1936. Combining local expertise with the unmatched power and reach of a global network, the company has experienced consistent success over the past eight decades. 

Wallace was founded on a commitment to professionalism and customer service and this continues to be at the very core of our business philosophy. Our education programs for new agents combined with our professional development and continuing education for seasoned sales professionals set our company apart. We also employ non-competing brokers who provide support to our agents at each of our seven area office locations. 

Additionally, our dedicated media department provides top notch support in the form of an integrated marketing strategy, including print and online media. Walace provides a one-stop shopping experience. For mortgage and financing needs, we have CMG Financial mortgage loan specialists available in each office to assist clients. Additionally our clients are provided convenient closing services through Melrose Title, a locally owned and operated attorney-driven title company. From start to finish, Wallace can make the buying process a smooth one.   ",https://www.linkedin.com/company/wearewallacere/
Mon Ami Real Estate,Real Estate,"Chicago, Illinois",11-50,A,http://www.monamire.com,"hiring for  directors and controllers, Mon Ami Real Estate is a value-driven investor-operator focused on the overlooked middle market: sub-$30M Class B/C retail & industrial across the U.S. 

Over the past 15 years, we've developed an investment strategy focused on acquiring properties with intrinsic value, enhancing performance post-acquisition, and delivering attractive risk-adjusted returns for our investors.

We win where complexity and timing narrow the buyer pool—buying at a discount, closing with speed and certainty, and executing in-house.",https://www.linkedin.com/company/mon-ami-real-estate/
Hunden Partners,Real Estate,"Chicago, Illinois",11-50,A,http://www.hunden.com,"hirin for business development and proposal, Hunden Partners is the leading advisor in destination real estate development. The firm offers a full range of project advisory and execution services including market and financial feasibility, economic and impact analyses, tourism planning and strategy, and development implementation for specialty destination assets such as sports facilities, mixed-use and entertainment districts, convention and expo centers, hotels, entertainment venues, recreation facilities and other economic development projects. 
 
Hunden assists clients to move projects from concept to funding to execution. The company’s clients include cities, states, universities, DMOs, authorities and private developers. Hunden has conducted more than 1,000 studies and has had a hand in the development of over $20 billion in projects around the world.",https://www.linkedin.com/company/hunden-partners/about/
Adler Partners,Real Estate,"Miami, FL",11-50,A,https://adler-partners.com/,"commercial manager Adler Partners is a vertically integrated real estate investment company that focuses on the acquisition and operations of multi-tenant light-industrial and related business parks in the Eastern and Southern United States. Adler Partners invests through Funds, Managed Accounts and individual asset Joint Ventures. The Company's Investment philosophy is to focus on capital preservation, cash flow and value creation. The origins of the business dates to the 1950’s when Samuel Adler founded the Adler Group in Miami, FL.

Adler Partners pursues a vertically integrated niche strategy highly focused on a specific market sector, enabling it to generate favorable risk adjusted returns for its investors. 

Adler Partners was formed in 2012 as the successor to the Adler Group’s investment business which had a successful 50 year track record developing and acquiring multi-tenant office and industrial assets. As of early 2020, the portfolio includes 23 properties in 11 cities across the United States.",https://www.linkedin.com/company/adler-kawa-real-estate-advisors/about/
Host & Home,Real Estate,"Hilton Head Island, South Carolina",11-50,A,"hosthhi.com
","Hiring for markting and growth manager, Host & Home is a luxury vacation rental management company based on Hilton Head Island, South Carolina. We partner with discerning homeowners and travelers to deliver a higher standard of property management and guest experience.

For homeowners, we provide hands-on, licensed property management built around trust, transparency, and performance. Your home is a significant investment, and we treat it that way. Our team takes a proactive, detail-oriented approach to care, revenue strategy, and communication—keeping owners informed, involved, and confident that their property is being managed at the highest level. We focus on long-term value, owner retention, and thoughtful growth, not volume for volume’s sake.

Our operations are powered by a modern, integrated technology stack that supports dynamic pricing, streamlined guest communication, and clear financial reporting. The result is better performance, fewer headaches, and a more professional experience for everyone involved.

Every member of our property management team is licensed and deeply familiar with the Hilton Head market. We combine local expertise with data-driven decision-making to navigate the complexities of short-term rentals while protecting our owners’ interests.

For guests, Host & Home offers a curated collection of luxury vacation homes designed to feel effortless, comfortable, and memorable. From booking to departure, we focus on hospitality, responsiveness, and the small details that turn a stay into an experience.

At Host & Home, we believe there’s a better way to manage vacation rentals—one built on strong relationships, smart systems, and genuine care for both homes and the people who enjoy them.",https://www.linkedin.com/company/host-home/jobs/
ILIA Beauty,Beauty,"Laguna Beach, California",11-50,A,https://iliabeauty.com/,"hot lead in need of supply planning, SKINCARE POWERED MAKEUP. 
We believe in skin that looks like skin—and radiance that comes naturally. Since 2011, ILIA has been at the forefront of the clean beauty movement, creating innovative formulas with powerful actives that protect and revive skin, safely. The Result? Thoughtful essentials you can trust and that make your skin look and feel alive. ",https://www.linkedin.com/company/ilia-beauty/about/
"Tower 28 Beauty, Inc.",Beauty,"Los Angeles, California",11-50,A,http://www.tower28beauty.com,Low staff. Minimal info online. But good possible lead.,https://www.linkedin.com/company/tower28beauty/
Patrick Ta Beauty,Beauty,"West Hollywood, California",11-50,A,http://patrickta.com/,"Hot lead, needs procurement, assistant founder, trade marketing. Everyone Deserves To Feel Confident & Beautiful Everyday. A beauty brand created by visionary co-founders, celebrity makeup artist Patrick Ta, established product specialist Rima Minasyan, and seasoned entrepreneur Avo Minasyan. ",https://www.linkedin.com/company/patrick-ta-beauty/about/
Kopari Beauty,Beauty,"La Jolla, California",11-50,A,http://www.koparibeauty.com,"No jobs online at the moment. Clean. Vegan. Cruelty-Free. High-Performance Skin, Body & Sun Care.
Everybody should feel like paradise. That’s why our clean skin & body care products are made using nature’s best ingredients in the world, powered by proven actives, and backed by clinical results to give you glowing, nourished, protected skin, head-to-toe. ",https://www.linkedin.com/company/kopari-beauty/
DIBS Beauty,Beauty,"Austin, Texas",11-50,A,http://www.dibsbeauty.com/,"Hiring. for account coordinator, We're about beauty that puts our customer first by pairing and elevating combinations, functions and beautiful textures. Launched in 2021, DIBS became one of the fastest growing makeup brands in the U.S. Within 6 months of its debut in Ulta, DIBS now has a presence in all 1400+ stores nationwide. DIBS is backed by L Catterton, the LVMH partnership recognized as the world's leading consumer goods growth equity fund.",https://www.linkedin.com/company/dibsbeauty/
Victoria Beckham Beauty,Beauty,"New York, New York",11-50,A,https://www.victoriabeckhambeauty.com/,"Hiring for Sales Operations Manager. 
Beauty In Motion

Victoria Beckham Beauty is founded on the idea that beauty should complement and empower the dynamic life you lead. 

When Victoria envisioned what she wanted Victoria Beckham Beauty to be, she asked herself - what would the most amazing luxury beauty brand look like in ten years? She concluded that the future of beauty would be super clean, perform at the highest luxury level, welcome everyone who loves beauty, help people fuel their lives inside and out, be sustainable, transparent, digital-first, cruelty-free, and created by women (naturally). This is the vision behind Victoria Beckham Beauty. We are a work in progress and a brand in motion.

Developed through Victoria Beckham’s unique perspective, these are the products she felt were missing from her makeup bag — cleanly formulated, high performance beauty solutions for the modern individual who lives life on-the-move and to the fullest.",https://www.linkedin.com/company/victoria-beckham-beauty/about/
"Beauty Solutions, Ltd.",Beauty,"New York, NY",11-50,A,http://www.beautysolutionsltd.com/,"Need sales directors. Beauty Solutions, Ltd. is a leading innovator of quality cosmetics and skincare. Our products are proudly made in the U.S.A. and loved by consumers around the globe.

Founded in 2004, our purpose is to create innovative yet affordable products that help women feel and look their best with solutions for their everyday beauty needs.  Today, Beauty Solutions, Ltd is home to brands all driven by this purpose.

We feature five brands with established loyalty, three of which were founded in the 1980's. We are continuing to launch new brands and products to reach an expanding consumer audience. Our brands include Skincare LdeL Cosmetics® Retinol, Retinol-X®, MOODmatcher®, SkinLab™ and Fran Wilson®.  With over 15 trademarks, our niche products reach all segments of retail from beauty supply to department store, along with a presence in over 40 countries.

The future is exciting for Beauty Solutions, Ltd. as we continue to strive for innovation coupled with accessibility for our devoted consumers across the world.",https://www.linkedin.com/company/beauty-solutions-ltd./
Innersense Organic Beauty,Beauty,"Concord, California",11-50,A,http://www.innersensebeauty.com,"needs coordinator and growth marketing. Innersense Organic Beauty continues to push the boundaries of new product development by utilizing organic chemistry to raise the bar on clean, luxurious formulas with professional performance to care for your hair, health and planet. 

Dedicated to wellness through uplifting affirmations, self care and hair ceremonies, our mission is to inform, inspire and empower beauty professionals and consumers to make healthy choices with a brand that aligns with their personal values. Clean chemistry, radical transparency and a commitment to the environment are our promises to you. This means no parabens, silicones, sulfates, synthetic fragrances or questionable ingredients. It’s your health. It’s our planet.",https://www.linkedin.com/company/innersense-organic-beauty/
Miche Beauty,Beauty,"Lanham , Maryland",11-50,A,https://www.michebeauty.com/,"Influencer coordinator but Founded in 2016, MICHE Beauty is on a mission to simplify haircare for individuals of all hair types. With a deep understanding of the complexities associated with hair care, our goal is to provide simple, clean, and effective solutions that cater to the diverse needs of our customers.

Our Philosophy

At MICHE Beauty, we believe that hair care should be straightforward and enjoyable. Our products are designed to eliminate the confusion often associated with hair care routines. We focus on clean ingredients that are safe, effective, and nourishing, ensuring that everyone can find a solution that works for their unique hair needs. 

We take pride in our commitment to inclusivity. Our formulations are tailored to support the various textures and types of hair, allowing everyone to embrace their natural beauty. We celebrate diversity and empower our customers to express themselves through their hair

Our product line includes a range of high-quality hair care solutions, from shampoos and conditioners to styling creams and treatments. Each product is meticulously crafted to ensure it meets our stringent standards for quality and effectiveness. Our formulations are free from harmful chemicals and are designed to hydrate, define, and enhance natural curls while promoting overall hair health.

As we look to the future, MICHE Beauty is excited to continue innovating and expanding our product offerings to meet the evolving needs of our customers. We invite you to join us on this journey toward simplified, inclusive hair care that celebrates the beauty of diversity.

At MICHE Beauty, we are more than just a hair care brand; we are a movement dedicated to celebrating and nurturing the beauty of all hair types. ",https://www.linkedin.com/company/miche-beauty/
LYS Beauty,Beauty,"Atlanta, GA",11-50,A,http://www.lysbeauty.com,"Need coordinators. About LYS Beauty
Founded in 2021 on a steadfast mission to empower, inspire and awaken your most confident self, LYS™Beauty is a forward-thinking cosmetics brand with a luxurious, skin-first approach to formulating which helps you step out of society's box and into your truest self. With strict ingredient standards, universal shade offerings and high-performance results, these enriching formulas help target common skincare concerns, like blemishes, visible signs of aging, hyperpigmentation, excess oil and uneven texture and tone. Fueled by the stance that confidence should come without compromise, LYS Beauty is committed to: cruelty-free practices, uber-clean formulations, vegan accommodations, non-conformity, accessibility and plant-based ingredients.",https://www.linkedin.com/company/lysbeauty/
"Adler Real Estate Partners, LLC",Beauty,"Miami, FL",11-50,A,https://adler-partners.com/,"needs  property manager. Adler Partners is a vertically integrated real estate investment company that focuses on the acquisition and operations of multi-tenant light-industrial and related business parks in the Eastern and Southern United States. Adler Partners invests through Funds, Managed Accounts and individual asset Joint Ventures. The Company's Investment philosophy is to focus on capital preservation, cash flow and value creation. The origins of the business dates to the 1950’s when Samuel Adler founded the Adler Group in Miami, FL.

Adler Partners pursues a vertically integrated niche strategy highly focused on a specific market sector, enabling it to generate favorable risk adjusted returns for its investors. 

Adler Partners was formed in 2012 as the successor to the Adler Group’s investment business which had a successful 50 year track record developing and acquiring multi-tenant office and industrial assets. As of early 2020, the portfolio includes 23 properties in 11 cities across the United States.",https://www.linkedin.com/company/adler-kawa-real-estate-advisors/jobs/
Danessa Myricks Beauty,Beauty,"Bethpage , NY",11-50,A,https://danessamyricksbeauty.com/,"They are hiring for a Executive Assistant.We develop innovative multifunctional products that work everyplace, on every face. Our high-performing products give makeup artists and consumers alike the freedom to play outside the box.

All of our products are cruelty-free.",https://www.linkedin.com/company/danessa-myricks-beauty/
LAWLESS Beauty,Beauty,"La Jolla, California",11-50,A,http://lawlessbeauty.com,"Needs Sales Assitant. There are no rules in beauty. 

""My mission is to create high performance, clean makeup that is supercharged with uncompromising ingredient quality, clinically tested to visibly improve the quality of your skin, so you can reap the benefits of your makeup for years to come.""
- Annie Lawless, Founder & Creator of Lawless Beauty",https://www.linkedin.com/company/lawless-beauty/
Beauty Heroes,Beauty,Northern California,11-50,A,http://beauty-heroes.com,"Needs Fufilment. Beauty Heroes is a healthy beauty discovery platform and retailer with the most stringent ingredient standard in beauty. A champion of independent brands, spa industry veteran and Founder, Jeannie Jarnot, disrupted the beauty subscription model in 2014 with Beauty Heroes’ Monthly Beauty Discovery which focuses on one brand at a time, curating their Hero products and delivering full-size products in an intentional and educational format. Beauty Heroes is known for their design and content forward approach to telling meaningful brand stories. Today, their online and Northern California brick & mortar stores stock over 100 of the healthiest beauty, lifestyle, and wellness brands from around the world. Credited with launching the Blue Beauty movement, Beauty Heroes is the destination for plant-positive brands looking to be discovered by their global community of conscious consumers. ",https://www.linkedin.com/company/beauty-heroes/about/
Batallure Beauty ,Beauty,"New York, NY",11-50,A,http://www.batallurebeauty.com,"Packagind Development, Batallure Beauty specializes in brand strategy, product and package development, sourcing and manufacturing in the fragrance, color cosmetics, hair care, skin care, body care and men’s grooming categories. We offer custom development for various levels of complexity and innovation, each executed with the highest quality standards. Our mission is to employ our knowledge, skill and unparalleled access to envision and evolve your brand into a successful beauty business.

In 2006, Robin Burns-McNeill and Sam Ghusson co-founded Batallure Beauty.The name was inspired by the French word “bataleur,” an acrobat who demonstrates balance and flexibility on a tight wire. Today, Batallure Beauty embodies those same traits. By leveraging the founders’ combined experience in creating the world’s most recognized and highly successful beauty brands, Batallure Beauty brings exceptional strength to every project, whether it’s a licensing agreement, joint venture, strategic alliance or private label business structure.",https://www.linkedin.com/company/batallure-beauty/about/
Beauty By Earth,Beauty,"Carrollton, Texas",11-50,A,http://beautybyearth.com,"Hiring tiktok creator, Beauty By Earth is a skincare + beauty company based out of Carrollton, Texas in the United States.",https://www.linkedin.com/company/beauty-by-earth/about/
Half Magic Beauty,Beauty,"West Hollywood, California",11-50,A,https://halfmagicbeauty.com/,"hiring for infleuncers relationship manager, From the imagination of award-winning makeup artist Donni Davy (HBO’s Euphoria), HALF MAGIC helps you to look and feel as unique as you truly are. Whether you want an eye-catching blast of color or a subtle pop of glitter, HALF MAGIC lets you wear your heart on your face and embody every version of you.

Our vegan and cruelty-free products help you shape-shift with every day – using intensely saturated pigments in bold mattes and multidimensional shimmers. All you need is a mirror and your creativity.

HALF MAGIC is for makeup extroverts and introverts, newbies and pros, young and old. It’s for the boldest of the bold, as well as the understated minimalist. It’s for the red carpet, the silver screen, or the grocery store. Whether you follow the rules or break them, you're the other half of this magic – we're thrilled that you’re here.",https://www.linkedin.com/company/half-magic-beauty/about/
Nakery Beauty,Beauty,"Tampa, FLorida",11-50,A,https://nakerybeauty.com,"Hiring for Brand Marketing Manager. Wellness You Can Feel, Skincare You Can See.™

Nakery Beauty is the first full-body beauty brand, created with you, that combines wellness benefits with clinically proven skin results in every category - from magnesium sleep balms to intimate‑area comfort creams and powerful anti-aging formulas that lift sagging skin. 

Our customer-inspired formulas tackle the root cause (stress, lack of sleep, hormonal slowdown, collagen loss) and the visible effect (sagging, depleted, and crepey skin) so women can feel better and look better with one effortless routine.

Because when you feel good, you look good! ",https://www.linkedin.com/company/nakery-beauty/
Kara Beauty,Beauty,"Los Angeles, California",11-50,A,Www.karabeauty.com,"Hiring for graphic designers.  We are a bold and colorful Indie Beauty brand from sunny Los Angeles. Our mission is to provide luxury quality at wallet-friendly prices. Our products are proudly vegan, cruelty-free & paraben free!",https://www.linkedin.com/company/kara-beauty/
Yola Beauty,Beauty,"Chino, California",11-50,A,http://www.yolabeauty.com,"Hot lead. Needs inventory and logistics. Yola Beauty is a beauty brand management and distributor specializing in bringing global and K-Beauty brands to the U.S. market. We offer full-service support including brand localization, compliance, GTM planning, retail execution, and sales expansion across major offline and online channels. Our mission is to scale beauty brands through strategy, creativity, and strong retail partnerships.",https://www.linkedin.com/company/yolabeauty/
Hospitality Newfoundland and Labrador,Travel,"St. John's, Newfoundland and Labrador",11-50,A,http://www.hnl.ca,"Hot Lead. Needs a a project manager. Hospitality Newfoundland and Labrador is a non-profit membership association that leads, supports, represents and enhances the province’s tourism industry.

Since 1983, Hospitality NL has been the voice of the provincial tourism industry. Its work on behalf of members and the industry itself has played a crucial role in developing the tourism industry into the flourishing economic driver that it is today. 

Focused on advocacy, education, the adaptation of innovative technology and the promotion of a strong member network, through forward thinking and fostering the growth of its members, Hospitality NL continues to be the leader of the tourism industry in the province.",https://www.linkedin.com/company/hospitalitynl/about/
